SLIDE_NO,SLIDE_NAME,DISTRICT,LONGITUDE,LATITUDE,INITIATION,TRIGGERING,ACTIVITY,MATERIAL_T,GEOLOGY
SKM/ES/78A11/2015/416,,East Sikkim,88.628388999999999,27.340917000000001,0,Rainfall,Active,Debris,Gneiss
SKM/ES/78A11/2015/412,,East Sikkim,88.626193999999998,27.341443999999999,0,Rainfall,Active,Debris,Gneiss
SKM/ES/78A11/2015/417,,East Sikkim,88.621832999999995,27.337194000000000,0,Rainfall/ Earthquake,Dormant,Debris,No exposure
SKM/ES/78A11/2015/46,Sichey,East Sikkim,88.600555999999997,27.348721999999999,0,Rainfall,Active,Debris,No exposure
SK/ESK/78A11/2019/02,"Palzor Stadium road, Gangtok",East District,88.609110999999999,27.338249999999999,2019,Rainfall,Active,Debris,Weathered biotite schist with the intrusion of thin quartz vein.
SK/ESK/78A11/2018/001,"Upper Syari, Deorali, Gangtok",East Sikkim,88.606667000000002,27.315833000000001,0,Rainfall.,Active,Debris,Streaky migmtitic gneiss and biotite+muscovite gneiss belonging to Kanchanjunga gneiss of CCGC (Central Crystalline Gneissic Complex) along with basic intrusives. The intrusives are at places showing concorda
