SLIDE_NO,SLIDE_NAME,DISTRICT,LONGITUDE,LATITUDE,INITIATION,TRIGGERING,ACTIVITY,MATERIAL_T,GEOLOGY
WB/DAR/78A04/2015/1232,,Darjeeling,88.224861000000004,27.091888999999998,2014,Rainfall,Active,Debris,"PHYLLITE, CHLORITE SERICITE SCHIST AND QUARTZITE"
WB/DAR/78A04/2015/1234,,Darjeeling,88.234250000000003,27.078167000000001,2011,Rainfall,Active,Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/1233,,Darjeeling,88.236861000000005,27.084111000000000,2013,Rainfall,Active,Debris,Slopewash
WB/DAR/78A08/2015/1161,,Darjeeling,88.253139000000004,27.097000000000001,2015,Rainfall,Suspended,Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/1163,,Darjeeling,88.246667000000002,27.099139000000001,2015,Rainfall,Active,Debris,Slopewash
WB/DAR/78A08/2015/101,15km. North of Darjeeling town on Darjeeling-Naya bazar road,Darjeeling,88.250742000000002,27.094394000000001,2009,Rainfall,Dormant,Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DARJ/78A04/0239,,Darjeeling,88.250000000000000,27.094000000000001,0,,,Debris,Granite Gneiss of Central Crystalline Gneissic Complex
WB/DAR/78A04/2015/1183,,Darjeeling,88.249972000000000,27.090778000000000,2015,Rainfall,Active,Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/1184,,Darjeeling,88.243750000000006,27.088750000000001,2015,Earthquake,Dormant,Debris,Slopewash
WB/DAR/78A08/2015/83,"Roy Villa, Darjeeling-Lebong Road, below Raj Bhavan",Darjeeling,88.281959999999998,27.065829999999998,2007,Rainfall,Active,Debris,Slopewash
WB/DAR/78A08/2015/1510,,Darjeeling,88.279757000000004,27.054175000000001,2016,Rainfall,Active,Rock,Compacted debris
WB/DAR/78A08/2015/108,"Leobng Road towards  Darjeeling, byside",Darjeeling,88.279694000000006,27.054221999999999,2009,Rainfall,Suspended,Rock cum Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A08/2015/81,Phoobtshering T.E. Road (M.S. Road),Darjeeling,88.280439999999999,27.054340000000000,2007,Rainfall,Active,Debris,Colluvium
WB/DAR/78A08/2015/1511,,Darjeeling,88.280503999999993,27.054295000000000,2014,Rainfall,Active,Debris,Compacted debris
WB/DAR/78A08/2015/90,"Chotta Pattabong, Kanchanview",Darjeeling,88.267527999999999,27.053222000000002,2009,Rainfall,Active,Debris,Colluvium
WB/DAR/78A08/2015/1509,,Darjeeling,88.267650000000003,27.053118999999999,2014,Rainfall,Active,Debris,Slopewash
WB/DAR/78A08/2015/109,Chotta  Pattabong Rightside of Lebong Cart Road towards  Lebong,Darjeeling,88.268305999999995,27.052278999999999,2009,Rainfall,Reactivated,Rock cum Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A08/2015/102,Hermitage slope. Below Saradeswari Girls High School,Darjeeling,88.268000000000001,27.050000000000001,2009,Rainfall,Active,Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A08/2015/1506,,Darjeeling,88.256253999999998,27.063181000000000,2015,Rainfall,Dormant,Rock,Slopewash
WB/DAR/78A08/2015/93,Community Hall near Priya Tamang??s House,Darjeeling,88.256221999999994,27.063222000000000,2009,Rainfall,Active,Rock cum Debris,Insitu soil
WB/DAR/78A08/2015/1505,,Darjeeling,88.255319999999998,27.063351999999998,2014,Rainfall,Dormant,Rock,Slopewash
WB/DAR/78A08/2015/95,Santi Parbat near H/O Shri Mahendra Thapa,Darjeeling,88.255278000000004,27.063472000000001,2009,Rainfall,Active,Debris,Insitu soil
WB/DAR/78A08/2015/94,Santi Parbat near house of S.Sarki,Darjeeling,88.255639000000002,27.063943999999999,2009,Rainfall,Active,Debris,Slopewash
WB/DAR/78A08/2015/96,Santi Parbat near house of R.D.Rai,Darjeeling,88.254810000000006,27.064033999999999,2009,Rainfall,Active,Debris,Insitu soil
WB/DAR/78A08/2015/1504,,Darjeeling,88.254863000000000,27.064007000000000,2014,Rainfall,Active,Rock cum Debris,Slopewash
WB/DAR/78A08/2015/97,"Santi Parbat  P.O. North Point, Near Singhamari",Darjeeling,88.254666999999998,27.062861000000002,2009,Rainfall,Active,Debris,Insitu soil
WB/DAR/78A04/2015/1463,,Darjeeling,88.245092999999997,27.063400000000001,2014,Rainfall,Active,Debris,QUARTZO-FELDSPATHIC GNEISS
