slide_no,district,lat,lon,year,month_hint,exact_date,time,source,source_url,date_precision,location_precision,fatalities,road_association,status,precision_status,priority,source_tier,contam_geo,contam_dem,contam_rain,contam_soil,contam_sat,contam_seis,contam_prox_m,source_2,source_convergence,event_identity,related_episode_id,exactness_status,geography_status,DEM_status,rainfall_status,satellite_status,eligible_for_championship
SKM/Namchi/78A08/2022/Doro p I,Namchi,27.1196,88.3227,2022,August 2022,,,,,month-year,,,,to-mine,MONTH_CONFIRMED,A,,,,,,,,,,,,,,,,,,
SKM/Soreng/78A08/2022/Kamli ng/01,Soreng,27.1902,88.3255,2022,November 2022,,,,,month-year,,,,to-mine,MONTH_CONFIRMED,A,,,,,,,,,,,,,,,,,,
SKM/Gangtok/78A11/2022,Gangtok District,27.3263,88.5954,2022,August 2022,,,,,month-year,,,,to-mine,MONTH_CONFIRMED,A,,,,,,,,,,,,,,,,,,
SKM/Namchi/78A08/2022/Gom I,Namchi,27.1124,88.3246,2022,August 2022,,,,,month-year,,,,to-mine,MONTH_CONFIRMED,A,,,,,,,,,,,,,,,,,,
SKM/ES/78 A11/2022/TVP-I1,East Sikkim,27.3721,88.6167,2022,May 2022,,,,,month-year,,,,to-mine,MONTH_CONFIRMED,A,,,,,,,,,,,,,,,,,,
SK/ES/78 A07/Marchak,East Sikkim,27.2812,88.5895,2022,June 2022,,,,,month-year,,,,to-mine,MONTH_CONFIRMED,A,,,,,,,,,,,,,,,,,,
SKM/ES/78 A12/2022/Basnettgaon,Pakyong,27.2488,88.6019,2022,October 2022,,,,,month-year,,,,to-mine,MONTH_CONFIRMED,A,,,,,,,,,,,,,,,,,,
SKM/ Pakyong/78 A11/2022/Lower Samsing Slide,Pakyong,27.2536,88.6043,2022,August 2022,,,,,month-year,,,,to-mine,MONTH_CONFIRMED,A,,,,,,,,,,,,,,,,,,
SKM/Gangtok/78A11/2023/01/ Sokpay,Gangtok District,27.3934,88.5224,2016,March 2023,,,,,month-year,,,,to-mine,MONTH_CONFIRMED,A,,,,,,,,,,,,,,,,,,
SK/ES/78 A11/Sang,East Sikkim,27.2507,88.5314,2019,July 2019,,,,,month-year,,,,to-mine,MONTH_CONFIRMED,A,,,,,,,,,,,,,,,,,,
