timestamp,S1,S2,S3,S4
2024-06-10,0.2363,0.2363,0.2363,0.2363
2024-06-11,0.2362,0.2362,0.2362,0.2362
2024-06-12,0.2641,0.2641,0.2641,0.2641
2024-06-13,0.2363,0.2363,0.2363,0.2363
2024-06-14,0.3345,0.3345,0.3345,0.3345
2024-06-15,0.2693,0.2693,0.2693,0.2693
2024-06-16,0.3185,0.3185,0.3185,0.3185
