timestamp,total,mean_daily,p90,p95,median,wet_days,obs,wet_day_freq
1,6430.1351,1.6728,0.9173,6.8741,0.0,509,3844,0.1324
2,2438.3486,0.6961,0.0,0.6367,0.0,216,3503,0.0617
3,2191.0101,0.57,0.0,0.0,0.0,186,3844,0.0484
4,2844.33,0.7646,0.0,2.022,0.0,312,3720,0.0839
5,5078.6988,1.3212,1.0401,5.9528,0.0,540,3844,0.1405
6,5124.2527,1.3775,3.1873,8.2787,0.0,864,3720,0.2323
7,8012.909,2.0845,5.7337,12.8255,0.0,1192,3844,0.3101
8,13895.8091,3.6149,11.2882,21.1351,0.0,1686,3844,0.4386
9,14272.215,3.8366,12.2981,21.9663,0.0,1439,3720,0.3868
10,29457.3055,7.6632,23.661,38.3704,0.0,1918,3844,0.499
11,47305.5929,12.7166,41.43,64.8685,0.4656,2001,3720,0.5379
12,26063.8035,6.7804,18.4957,40.8537,0.0,1283,3844,0.3338
