rank,timestamp,rainfall_1d,rainfall_3d,rainfall_7d,year,month
1,1931-04-14,332.903,417.5326,417.5326,1931,4
2,2015-11-10,327.302,466.4196,525.8784,2015,11
3,1943-05-18,314.4876,449.4117,512.7276,1943,5
4,1902-12-06,297.5595,591.8461,724.3945,1902,12
5,1908-10-23,284.3166,432.2911,445.823,1908,10
6,2020-12-04,279.5865,340.907,350.7345,2020,12
7,1941-12-03,276.4117,276.4117,281.8226,1941,12
8,1998-11-04,247.6092,316.385,317.2449,1998,11
9,2022-11-12,229.878,303.6734,396.6525,2022,11
10,1965-12-05,226.5245,336.4278,484.6269,1965,12
11,2021-01-13,222.7673,314.3066,381.5909,2021,1
12,2005-11-08,222.5457,367.7541,462.4524,2005,11
13,1932-11-25,218.8965,296.7677,369.0451,1932,11
14,2008-11-26,215.6899,378.0172,477.7165,2008,11
15,1913-11-09,214.9679,407.1967,425.8245,1913,11
16,1952-12-07,214.2045,214.2045,310.5263,1952,12
17,2017-10-31,212.7603,232.9536,253.7627,2017,10
18,1933-11-09,210.458,215.1758,230.989,1933,11
19,1912-11-17,209.6129,251.7127,273.4787,1912,11
20,2008-11-28,209.421,536.7063,772.8881,2008,11
