year,annual_total,mean_daily,wet_days,heavy_rain_days,max_daily,obs
1901,1273.0303,3.4878,113,3,95.9057,365
1902,2301.5986,6.3057,123,11,297.5595,365
1903,1196.4485,3.2779,118,1,80.3794,365
1904,830.4243,2.2689,96,1,79.5247,366
1905,1313.4205,3.5984,99,4,126.3579,365
1906,1894.0762,5.1892,99,7,144.5774,365
1907,1549.8231,4.2461,98,5,148.5044,365
1908,1678.7571,4.5868,90,6,284.3166,366
1909,1034.2424,2.8335,115,1,67.4363,365
1910,1022.2975,2.8008,86,2,76.2543,365
1911,1147.7962,3.1446,98,2,76.8806,365
1912,1153.1581,3.1507,83,2,209.6129,366
1913,2070.1697,5.6717,94,6,214.9679,365
1914,1681.9344,4.608,98,4,129.2123,365
1915,1188.2037,3.2554,92,5,77.1249,365
1916,1104.4757,3.0177,87,3,201.4301,366
1917,915.2244,2.5075,115,1,125.7378,365
1918,1612.6681,4.4183,110,6,180.4982,365
1919,1299.8386,3.5612,99,4,124.902,365
1920,1900.0302,5.1913,103,9,152.3635,366
1921,1151.5997,3.1551,95,2,89.6659,365
1922,1431.6782,3.9224,111,7,117.6436,365
1923,1617.0405,4.4302,100,6,172.9973,365
1924,1262.8723,3.4505,96,3,177.9611,366
1925,2038.4971,5.5849,114,5,164.9048,365
1926,1209.0687,3.3125,87,4,128.5891,365
1927,1082.78,2.9665,106,2,74.9062,365
1928,2123.5248,5.802,109,10,150.1543,366
1929,1422.6771,3.8977,103,3,117.6215,365
1930,1811.2714,4.9624,107,6,173.3261,365
1931,2062.0526,5.6495,102,6,332.903,365
1932,1415.9658,3.8688,107,4,218.8965,366
1933,1088.6209,2.9825,86,4,210.458,365
1934,1168.8699,3.2024,89,2,113.2731,365
1935,1224.595,3.3551,89,5,125.0411,365
1936,1155.8925,3.1582,100,2,105.7051,366
1937,1633.4184,4.4751,92,7,180.9025,365
1938,850.3088,2.3296,87,1,81.3025,365
1939,1289.0955,3.5318,91,4,128.8344,365
1940,1794.598,4.9033,116,8,132.0033,366
1941,1564.3106,4.2858,100,6,276.4117,365
1942,1053.1296,2.8853,99,1,72.9359,365
1943,2157.599,5.9112,120,4,314.4876,365
1944,1300.389,3.553,99,3,190.206,366
1945,832.2743,2.2802,77,2,107.0366,365
1946,1498.4198,4.1053,104,4,120.919,365
1947,1022.7402,2.802,96,0,64.1925,365
1948,1040.1779,2.842,81,3,151.7564,366
1949,728.9385,1.9971,88,0,56.5255,365
1950,1172.9642,3.2136,98,3,173.4367,365
1951,1197.4126,3.2806,80,3,142.6142,365
1952,814.2167,2.2246,76,2,214.2045,366
1953,870.3711,2.3846,88,1,89.5845,365
1954,1269.0612,3.4769,82,3,200.3004,365
1955,1135.0831,3.1098,105,3,98.6043,365
1956,1302.3349,3.5583,126,3,85.9121,366
1957,944.1732,2.5868,104,1,70.4496,365
1958,743.487,2.037,83,2,95.577,365
1959,923.7125,2.5307,71,4,81.8155,365
1960,1640.4263,4.482,96,8,140.5686,366
1961,1156.8987,3.1696,101,0,64.3223,365
1962,1193.1622,3.2689,150,1,74.8186,365
1963,1862.9733,5.104,114,7,126.7303,365
1964,805.6415,2.2012,69,2,98.0498,366
1965,1742.0126,4.7726,101,4,226.5245,365
1966,1683.9441,4.6135,104,7,121.4327,365
1967,1274.8819,3.4928,103,4,88.5996,365
1968,1030.8884,2.8166,84,2,108.6475,366
1969,1684.5903,4.6153,97,9,180.8383,365
1970,1312.1543,3.5949,94,5,172.7125,365
1971,1419.8439,3.89,106,2,105.255,365
1972,1478.6748,4.0401,98,6,180.2886,366
1973,911.6384,2.4976,79,1,73.7488,365
1974,481.4885,1.3191,78,0,56.7399,365
1975,989.6876,2.7115,106,0,45.9904,365
1976,1160.3312,3.1703,107,2,99.788,366
1977,1728.659,4.7361,112,1,149.911,365
1978,1555.9048,4.2628,105,7,171.2425,365
1979,1516.9507,4.156,99,6,144.62,365
1980,674.0433,1.8416,86,0,48.9916,366
1981,1211.6253,3.3195,88,3,101.8353,365
1982,694.8693,1.9038,71,1,130.9013,365
1983,1267.5934,3.4729,105,3,177.2884,365
1984,1662.4048,4.5421,98,6,137.9249,366
1985,2056.0721,5.6331,100,8,175.4908,365
1986,1396.0221,3.8247,122,3,131.4975,365
1987,1055.2927,2.8912,109,4,126.1255,365
1988,950.3325,2.5965,70,4,95.5774,366
1989,1314.5004,3.6014,89,6,119.9346,365
1990,1218.3785,3.338,105,5,77.6592,365
1991,895.8701,2.4544,89,2,152.1458,365
1992,929.276,2.539,73,4,130.8906,366
1993,1484.6098,4.0674,86,6,106.525,365
1994,925.0293,2.5343,74,1,155.3477,365
1995,864.3562,2.3681,89,1,91.9207,365
1996,1515.8765,4.1417,81,8,155.97,366
1997,1304.6865,3.5745,94,5,112.8964,365
1998,1347.2421,3.6911,82,3,247.6092,365
1999,1141.6524,3.1278,91,4,124.6052,365
2000,1315.1948,3.5934,103,3,158.4667,366
2001,342.9058,0.9395,83,0,31.4498,365
2002,276.8737,0.7586,66,0,27.9596,365
2003,310.3484,0.8503,66,0,24.1005,365
2004,1288.9473,3.5217,85,4,135.9027,366
2005,1813.3752,4.9682,83,6,222.5457,365
2006,1615.2076,4.4252,94,8,134.8406,365
2007,1257.5602,3.4454,70,4,161.6457,365
2008,1885.7679,5.1524,114,7,215.6899,366
2009,1772.1716,4.8553,78,7,175.8515,365
2010,1508.5121,4.1329,103,3,198.2953,365
2011,1467.5611,4.0207,221,0,48.904,365
2012,1330.0411,3.634,212,1,64.8425,366
2013,1067.9304,2.9258,75,2,68.4524,365
2014,1574.8501,4.3147,91,5,100.9266,365
2015,2068.8045,5.668,106,7,327.302,365
2016,554.0892,1.5139,74,0,51.0335,366
2017,1813.7062,4.9691,94,6,212.7603,365
2018,1163.9722,3.189,79,1,78.9067,365
2019,1227.1261,3.362,94,1,120.1524,365
2020,1646.3344,4.4982,92,5,279.5865,366
2021,2386.6051,6.5386,127,7,222.7673,365
2022,1554.1656,4.258,128,4,229.878,365
2023,1340.4816,3.6726,114,4,108.5072,365
2024,1418.5527,3.8758,109,4,138.3764,366
