timestamp,rainfall_mm,grid_lat,grid_lon
2024-01-01,0.0,27.25,88.5
2024-01-02,0.0,27.25,88.5
2024-01-03,0.0,27.25,88.5
2024-01-04,0.0,27.25,88.5
2024-01-05,0.0,27.25,88.5
2024-01-06,0.0,27.25,88.5
2024-01-07,0.0,27.25,88.5
2024-01-08,0.0,27.25,88.5
2024-01-09,0.0,27.25,88.5
2024-01-10,0.0,27.25,88.5
2024-01-11,0.0,27.25,88.5
2024-01-12,0.0,27.25,88.5
2024-01-13,0.0,27.25,88.5
2024-01-14,0.0,27.25,88.5
2024-01-15,0.0,27.25,88.5
2024-01-16,0.0,27.25,88.5
2024-01-17,0.0,27.25,88.5
2024-01-18,1.0174248,27.25,88.5
2024-01-19,0.0,27.25,88.5
2024-01-20,0.0,27.25,88.5
2024-01-21,0.0,27.25,88.5
2024-01-22,0.7768534,27.25,88.5
2024-01-23,0.0,27.25,88.5
2024-01-24,0.21113886,27.25,88.5
2024-01-25,1.7026972,27.25,88.5
2024-01-26,0.0,27.25,88.5
2024-01-27,1.5474892,27.25,88.5
2024-01-28,0.0,27.25,88.5
2024-01-29,0.0,27.25,88.5
2024-01-30,2.600436,27.25,88.5
2024-01-31,1.0603575,27.25,88.5
2024-02-01,0.41920102,27.25,88.5
2024-02-02,0.28509048,27.25,88.5
2024-02-03,0.8659874,27.25,88.5
2024-02-04,2.5310187,27.25,88.5
2024-02-05,2.7814178,27.25,88.5
2024-02-06,1.1036149,27.25,88.5
2024-02-07,0.0,27.25,88.5
2024-02-08,0.34055418,27.25,88.5
2024-02-09,0.4484911,27.25,88.5
2024-02-10,0.0,27.25,88.5
2024-02-11,0.0,27.25,88.5
2024-02-12,0.0,27.25,88.5
2024-02-13,0.0,27.25,88.5
2024-02-14,0.0,27.25,88.5
2024-02-15,0.0,27.25,88.5
2024-02-16,0.0,27.25,88.5
2024-02-17,0.0,27.25,88.5
2024-02-18,0.98624116,27.25,88.5
2024-02-19,2.8178363,27.25,88.5
2024-02-20,0.0,27.25,88.5
2024-02-21,0.0,27.25,88.5
2024-02-22,0.0,27.25,88.5
2024-02-23,0.0,27.25,88.5
2024-02-24,2.0846512,27.25,88.5
2024-02-25,0.0,27.25,88.5
2024-02-26,0.0,27.25,88.5
2024-02-27,0.0,27.25,88.5
2024-02-28,0.0,27.25,88.5
2024-02-29,0.0,27.25,88.5
